top_01 occurrence times 9435:	     shall
top_812 occurrence times 94:	    caused
top_813 occurrence times 94:	 Egyptians
top_814 occurrence times 93:	    fallen
top_815 occurrence times 93:	    Canaan
top_816 occurrence times 93:	     small
top_817 occurrence times 93:	      drew
top_818 occurrence times 91:	    burned
top_819 occurrence times 91:	       ram
top_820 occurrence times 91:	      fast
top_821 occurrence times 91:	       ass
top_822 occurrence times 91:	      That
top_823 occurrence times 90:	      Give
top_824 occurrence times 90:	    angels
top_825 occurrence times 90:	      sick
top_826 occurrence times 90:	    liveth
top_827 occurrence times 90:	  prepared
top_828 occurrence times 90:	       One
top_829 occurrence times 90:	    better
top_830 occurrence times 90:	     loved
top_831 occurrence times 90:	     names
top_832 occurrence times 90:	  reproach
top_833 occurrence times 89:	    matter
top_834 occurrence times 89:	     parts
top_835 occurrence times 89:	     abide
top_836 occurrence times 89:	    saints
top_837 occurrence times 89:	   thither
top_838 occurrence times 89:	threescore
top_839 occurrence times 89:	    poured
top_840 occurrence times 89:	     alive
top_841 occurrence times 89:	    riches
top_842 occurrence times 89:	     sound
top_843 occurrence times 88:	     carry
top_844 occurrence times 88:	   remnant
top_845 occurrence times 88:	       get
top_846 occurrence times 88:	    hearts
top_847 occurrence times 88:	 atonement
top_848 occurrence times 88:	      glad
top_849 occurrence times 88:	  consumed
top_850 occurrence times 88:	       pit
top_851 occurrence times 87:	   thereon
top_852 occurrence times 87:	      lift
top_853 occurrence times 87:	     waste
top_854 occurrence times 87:	     goats
top_855 occurrence times 87:	   garment
top_856 occurrence times 87:	   shekels
top_857 occurrence times 86:	 fulfilled
top_858 occurrence times 86:	 Pharisees
top_859 occurrence times 86:	      hate
top_860 occurrence times 86:	    vanity
top_861 occurrence times 86:	continually
top_862 occurrence times 86:	   breadth
top_863 occurrence times 86:	Jehoshaphat
top_864 occurrence times 85:	      sign
top_865 occurrence times 85:	 journeyed
top_866 occurrence times 85:	       led
top_867 occurrence times 84:	      rich
top_868 occurrence times 84:	     never
top_869 occurrence times 84:	    fourth
top_870 occurrence times 84:	    indeed
top_871 occurrence times 84:	     brake
top_872 occurrence times 84:	    taketh
top_873 occurrence times 84:	  increase
top_874 occurrence times 84:	      heed
top_875 occurrence times 83:	       bed
top_876 occurrence times 83:	  prophesy
top_877 occurrence times 83:	      army
top_878 occurrence times 83:	     write
top_879 occurrence times 83:	     early
top_880 occurrence times 82:	     moved
top_881 occurrence times 82:	   pitched
top_882 occurrence times 82:	   knowest
top_883 occurrence times 82:	     arise
top_884 occurrence times 82:	     lambs
top_885 occurrence times 81:	        By
top_886 occurrence times 81:	      food
top_887 occurrence times 81:	     eight
top_888 occurrence times 81:	     sware
top_889 occurrence times 81:	destruction
top_890 occurrence times 81:	     souls
top_891 occurrence times 81:	     guard
top_892 occurrence times 81:	    labour
top_893 occurrence times 81:	   greatly
top_894 occurrence times 81:	  bringeth
top_895 occurrence times 81:	    length
top_896 occurrence times 80:	     tenth
top_897 occurrence times 80:	     bowed
top_898 occurrence times 80:	  assembly
top_899 occurrence times 80:	       Woe
top_900 occurrence times 80:	    flocks
top_901 occurrence times 80:	   clothes
top_902 occurrence times 80:	straightway
top_903 occurrence times 79:	    abroad
top_904 occurrence times 79:	       top
top_905 occurrence times 79:	 committed
top_906 occurrence times 79:	    behind
top_907 occurrence times 79:	abomination
top_908 occurrence times 79:	established
top_909 occurrence times 79:	understand
top_910 occurrence times 79:	      sold
top_911 occurrence times 79:	messengers
top_912 occurrence times 79:	   trouble
top_913 occurrence times 79:	   declare
top_914 occurrence times 79:	     sleep
top_915 occurrence times 78:	     blind
top_916 occurrence times 78:	        ox
top_917 occurrence times 78:	       rod
top_918 occurrence times 78:	    vision
top_919 occurrence times 77:	      wash
top_920 occurrence times 77:	      true
top_921 occurrence times 77:	sacrifices
top_922 occurrence times 77:	  precious
top_923 occurrence times 77:	     Jonah
top_924 occurrence times 76:	   measure
top_925 occurrence times 76:	    burden
top_926 occurrence times 76:	      skin
top_927 occurrence times 76:	    church
top_928 occurrence times 76:	    served
top_929 occurrence times 76:	 testimony
top_930 occurrence times 76:	      rams
top_931 occurrence times 76:	    Surely
top_932 occurrence times 76:	     Simon
top_933 occurrence times 76:	  standing
top_934 occurrence times 76:	abominations
top_935 occurrence times 75:	   smitten
top_936 occurrence times 75:	    favour
top_937 occurrence times 75:	    suffer
top_938 occurrence times 75:	 Chaldeans
top_939 occurrence times 75:	   blemish
top_940 occurrence times 75:	     signs
top_941 occurrence times 75:	      hair
top_942 occurrence times 75:	      womb
top_943 occurrence times 75:	        el
top_944 occurrence times 75:	   greater
top_945 occurrence times 75:	  branches
top_946 occurrence times 75:	  passover
top_947 occurrence times 75:	  faithful
top_948 occurrence times 75:	      hide
top_949 occurrence times 74:	     Shall
top_950 occurrence times 74:	    rulers
top_951 occurrence times 74:	   kindled
top_952 occurrence times 74:	everlasting
top_953 occurrence times 74:	     Selah
top_954 occurrence times 74:	   eternal
top_955 occurrence times 74:	affliction
top_956 occurrence times 74:	      Levi
top_957 occurrence times 74:	   Eleazar
top_958 occurrence times 74:	     dream
top_959 occurrence times 74:	      rule
top_960 occurrence times 74:	      most
top_961 occurrence times 74:	    Reuben
top_962 occurrence times 73:	     white
top_963 occurrence times 73:	    loveth
top_964 occurrence times 73:	     Ghost
top_965 occurrence times 73:	    follow
top_966 occurrence times 73:	       dry
top_967 occurrence times 73:	     wings
top_968 occurrence times 73:	   captive
top_969 occurrence times 73:	    shadow
top_970 occurrence times 73:	      prey
top_971 occurrence times 73:	  speaketh
top_972 occurrence times 73:	      lamb
top_973 occurrence times 72:	       lot
top_974 occurrence times 72:	     doors
top_975 occurrence times 72:	      wast
top_976 occurrence times 72:	 strangers
top_977 occurrence times 72:	     Arise
top_978 occurrence times 72:	      last
top_979 occurrence times 72:	    healed
top_980 occurrence times 72:	   exalted
top_981 occurrence times 72:	    Hebron
top_982 occurrence times 72:	       god
top_983 occurrence times 72:	       Gad
top_984 occurrence times 72:	 exceeding
top_985 occurrence times 72:	  speaking
top_986 occurrence times 72:	     youth
top_987 occurrence times 72:	     Syria
top_988 occurrence times 71:	  forsaken
top_989 occurrence times 71:	      feed
top_990 occurrence times 71:	   Lebanon
top_991 occurrence times 71:	      fury
top_992 occurrence times 71:	      wept
top_993 occurrence times 71:	 stretched
top_994 occurrence times 71:	     noise
top_995 occurrence times 71:	     table
top_996 occurrence times 71:	    golden
top_997 occurrence times 70:	    Verily
top_998 occurrence times 70:	       Dan
top_999 occurrence times 70:	adversaries
top_1000 occurrence times 70:	   whereof
